survived,pclass,sex,age,sibsp,parch,fare,embarked
0,2,male,,0,0,40.0652,Q
0,3,male,49.4,0,0,14.0956,S
0,3,male,16.6,1,0,19.9023,S
1,3,male,31.4,0,0,7.4816,S
0,3,male,17.5,0,0,18.5476,S
0,3,female,24.3,1,2,18.9468,S
1,3,female,37.2,0,2,17.2782,S
0,3,male,15.6,0,0,13.9241,S
1,2,male,35.8,1,2,29.7108,S
0,3,female,44.7,0,2,9.7627,S
0,2,male,33.6,0,0,36.9729,S
0,3,male,46.5,0,1,18.6738,S
0,1,male,30.8,0,0,102.1976,C
0,3,male,39.9,1,2,17.4826,S
1,3,male,39.6,1,2,16.635,S
0,3,female,27.2,0,0,9.9546,S
0,3,male,19.7,1,0,5.1,Q
1,1,female,,1,2,102.585,C
0,3,male,32.6,1,0,11.0981,S
1,2,female,9.3,1,0,24.4912,S
0,3,male,26.5,0,0,17.3816,S
0,2,male,0.42,0,0,22.0764,S
0,3,male,25.8,1,0,12.8286,S
0,3,female,,0,2,22.2967,C
0,1,male,,0,0,80.3345,S
0,2,male,,1,0,39.7863,Q
0,2,male,37.5,0,0,21.3225,S
0,3,male,35.9,1,0,10.0995,S
1,1,female,39.6,1,0,194.3488,C
0,2,male,23.8,1,0,44.6237,S
1,3,female,,0,0,11.9241,S
0,3,male,,0,0,9.2118,S
1,3,female,29.5,2,0,15.3995,C
0,3,female,16.3,1,0,8.8115,S
0,3,male,35.2,1,0,9.4956,C
0,3,male,31,0,2,13.11,S
0,3,male,24.9,0,0,8.2123,S
1,3,female,26.2,0,0,14.8265,S
1,1,male,20.9,0,0,116.6589,S
1,2,female,37.6,0,1,41.6658,S
0,1,male,4.1,1,0,104.1374,S
1,2,female,13,1,0,24.7944,S
1,3,male,30.4,0,2,20.969,S
0,2,male,,1,0,23.382,C
0,1,male,,1,0,21.85,S
0,3,male,31.8,0,0,9.3122,S
0,3,male,8.7,0,0,10.4485,S
1,3,female,,0,0,14.7381,C
0,3,male,13.1,0,2,13.0245,S
0,3,female,17.8,0,0,17.3196,Q
0,2,male,38.5,0,0,29.6044,S
0,3,male,29.8,0,0,7.3982,C
0,2,female,17,0,0,18.487,S
0,3,male,29.3,0,0,8.5136,S
0,3,female,50.9,0,2,16.7661,S
0,2,male,,0,0,15.0891,S
1,3,female,32.7,0,0,10.8104,S
0,3,female,24,0,0,6.0318,S
1,1,female,8.1,0,1,58.0942,S
1,1,male,,0,3,36.367,S
1,3,female,23.6,0,0,4.2028,Q
0,3,female,23.2,1,1,14.377,C
0,3,male,21.2,4,4,30.0041,Q
0,2,male,12.5,0,0,30.1713,S
1,3,female,24.9,0,0,7.5578,S
1,1,male,40.4,0,0,85.5975,Q
0,3,male,32.8,1,0,14.9577,Q
0,3,male,30.6,0,0,12.1131,S
1,1,male,21,1,2,192.7516,S
0,1,male,43,0,0,77.8023,S
0,1,male,3.8,0,0,66.2709,S
0,3,male,,1,0,7.5127,S
0,1,male,,1,0,60.6038,C
0,3,female,33.8,1,0,15.5271,C
0,2,male,,1,2,23.8733,S
0,3,male,39.1,0,1,13.9524,S
0,1,male,14,0,0,123.8053,S
1,1,female,43.4,0,0,136.0697,S
1,1,male,39.2,1,0,45.145,S
1,3,male,44.9,1,0,11.2578,S
0,3,male,65.8,2,0,22.3156,Q
1,2,female,31.4,0,0,20.3944,C
1,1,female,,0,0,19.5,S
1,1,female,,1,0,169.634,S
0,1,male,24.7,0,0,111.4963,C
0,3,male,,0,0,5.2573,C
0,3,female,16.8,0,0,6.2509,S
1,3,female,30.4,0,0,6.0968,S
0,2,male,,0,1,32.2304,S
0,3,male,34.1,2,0,7.45,S
1,3,female,18.5,0,0,7.2047,S
1,1,female,1.8602,0,0,156.7853,S
0,3,female,26.5,1,0,17.7814,S
1,3,female,,0,0,10.7325,S
0,3,male,13.6,0,0,18.073,C
0,2,female,17,1,0,27.6189,S
